,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
115,Foodsies (FODSY),2021-03-26 18:58:09.771,2021-03-26 18:58:09.771,1,135.975,135.975
116,Friction Fin... (TAO),2021-03-20 10:43:29.066,2021-03-20 10:43:29.066,1,22.998288263,22.998288263
117,Fruit Token (FRUIT),2021-03-10 20:45:53.499,2021-03-10 20:45:53.499,1,302.8273809524,302.8273809524
118,FullSail Fin... (SAIL),2021-03-11 08:37:35.566,2021-03-20 20:54:54.175,10,59.7153871083,43.7248592639
119,GasBack (GasBac...),2021-03-14 14:59:31.228,2021-03-14 14:59:31.228,1,1050.6567721488,1050.6567721488
120,GoSwapp (GOFI),2021-03-14 22:07:23.261,2021-03-14 22:07:23.261,1,15.0,15.0
121,Gold Fish (GLDFIS...),2021-03-11 11:46:57.058,2021-03-16 23:02:05.090,2,12.2935045482,12.2066666667
122,Golden Goose... (GG1),2021-03-10 16:00:47.513,2021-03-23 18:38:53.542,15,926.2825640197003,849.516479882
123,Golden Goose... (GG2),2021-03-11 18:09:30.219,2021-03-19 18:21:46.462,19,246.2109708479,163.1980399751
124,Golden Goose... (GG3),2021-03-18 17:52:21.957,2021-03-26 10:41:56.163,14,58.27527046398163,35.5971501932
125,GoldenGem (GOG),2021-03-15 11:21:13.212,2021-03-15 11:21:13.212,1,48722394.95490413,48722394.95490413
126,Goose Golden... (EGG),2021-03-10 20:45:53.483,2021-03-25 16:07:09.597,22,85.2529905837,28.7614546276
127,GourmetGalax... (GUM),2021-03-24 07:02:51.638,2021-03-24 07:02:51.638,1,20029.0,20029.0
128,Harakiri Tok... ($HRKR),2021-03-22 13:09:04.333,2021-03-22 13:16:31.166,2,3670635.5389257288,2639457.714675852
129,Helmet.insur... (Helmet),2021-03-10 15:12:47.470,2021-03-16 23:01:46.762,3,26614.5238266518,26558.0
130,HyperAlloy (ALLOY),2021-03-10 15:12:47.535,2021-03-24 07:02:51.639,10,654.5977987477909,419.9378017341
131,HyperMechs (MECHS),2021-03-14 14:59:31.201,2021-03-14 14:59:31.201,1,1.0000559677,1.0000559677
132,IMO (IMO),2021-03-21 21:25:37.014,2021-03-21 21:25:37.014,1,2832.6601115934,2832.6601115934
133,IRON Share (SIL),2021-03-11 01:29:40.331,2021-03-15 22:30:32.102,2,6.770837399632136,4.6212824281
134,IRON Share V... (STEEL),2021-03-18 11:44:29.739,2021-03-23 18:38:53.486,4,92.1801745476,65.2791779911
135,Injective Pr... (INJ),2021-03-15 22:30:35.067,2021-03-15 22:30:35.067,1,85.66807081446473,85.66807081446473
136,Interest Bea... (ibBNB),2021-03-19 14:18:28.766,2021-03-19 14:18:28.766,1,79.8365558672,79.8365558672
137,Iron Finance (IRON),2021-03-17 13:17:11.954,2021-03-17 13:17:11.954,1,400000.0,400000.0
138,JULb (JULb),2021-03-11 21:19:17.741,2021-03-23 07:41:23.867,9,4.465116862941381,2.2269022629
139,Jade Token (JADE),2021-03-25 16:07:09.514,2021-03-25 16:07:09.514,1,0.5960816311,0.5960816311
140,Jiggly (JIGG),2021-03-14 14:59:31.322,2021-03-26 18:58:09.883,7,125.60829356078108,66.6273952917
141,JulSwap (JulD),2021-03-10 15:12:47.483,2021-03-24 07:02:54.488,18,80207.6260480157,30682.7517671273
142,KIWIGO (KGO),2021-03-14 22:07:23.254,2021-03-22 13:16:31.206,4,97.48976,72.48976
143,Kebab Token (KEBAB),2021-03-11 01:29:43.279,2021-03-20 02:32:28.791,5,85.9866174263,43.287037037
144,Kindcow Fina... (KIND),2021-03-11 11:46:57.128,2021-03-15 22:30:35.060,5,83.47068698999999,72.32305781
145,King of the ... (KOTH),2021-03-16 23:01:46.835,2021-03-16 23:02:02.109,2,5.104545034099999,2.8425907441
